Element,Category
joe_brown_(judge),Other
david_clarke_(sheriff),Other
america_right_or_wrong,Other
republican_and_conservative_support_for_barack_obama_in_2008,Republican
fifth_party_system,Democrat
fourth_party_system,Republican
sixth_party_system,Republican
third_party_system,Republican
u.s._economic_performance_by_presidential_party,Other
frank_aguilar,Other
ben_nighthorse_campbell,Other
list_of_former_trump_administration_officials_who_endorsed_joe_biden,Other
democrat_party_(epithet),Democrat
qanon,Other
1952_new_hampshire_republican_presidential_primary,Republican
1956_new_hampshire_republican_presidential_primary,Republican
1952_illinois_republican_presidential_primary,Republican
1956_illinois_republican_presidential_primary,Republican
2020_american_samoa_presidential_caucuses,Other
2020_northern_mariana_islands_presidential_caucuses,Other
2024_american_samoa_presidential_caucuses,Other
2024_guam_presidential_caucuses,Other
2000_american_samoa_presidential_caucuses,Other
2000_guam_presidential_caucuses,Other
2000_puerto_rico_presidential_nominating_contests,Other
2020_guam_presidential_caucuses,Other
ben_adamowski,Republican
ferdinand_lee_barnett_(chicago),Other
william_g._barr,Other
andrew_c._barrett,Other
riley_a._bender,Republican
william_henry_bissell,Other
william_bross,Republican
john_m._palmer,Other
isaac_n._arnold,Republican
jehu_baker,Other
lyman_trumbull,Other
ruthann_aron,Republican
montgomery_blair,Other
charles_d._bouldin,Other
john_h._buchanan_jr.,Other
dennis_callahan,Other
augustus_bradford,Democrat
francis_thomas,Other
eric_adams,Democrat
dean_alfange,Other
tom_allon,Other
thomas_g._alvord,Other
michael_j._astrue,Republican
steven_beckwith_ayres,Democrat
herman_badillo,Other
biden–ukraine_conspiracy_theory,Democrat
conspiracy_theories_related_to_the_trump–ukraine_scandal,Republican
doublespeak_award,Other
hunter_biden_laptop_controversy,Other
john_adams_dix,Other
theron_akin,Republican
augustus_f._allen,Other
al_d'amato,Republican
henry_adams_(wisconsin_politician),Other
albert_alden_(politician),Other
alexander_a._arnold,Other
gerhard_adolph_bading,Other
arthur_j._balzer,Democrat
david_r._bean,Republican
andrew_m._blair,Other
roman_r._blenski,Other
hans_borchsenius,Other
edwin_e._bryant,Other
samuel_g._bugh,Other
john_carey_(wisconsin_politician),Democrat
matthew_h._carpenter,Other
john_e._cashman,Republican
charles_billinghurst,Republican
bush_v._gore,Other
2008_united_states_presidential_election,Other
hope!_–_das_obama_musical,Other
democratic_and_liberal_support_for_john_mccain_in_2008,Democrat
2008_republican_party_vice_presidential_candidate_selection,Republican
2012_united_states_presidential_election,Other
social_media_in_the_2012_united_states_presidential_election,Other
2016_united_states_presidential_election,Other
juanita_broaddrick,Other
carrier_air_conditioner_move_to_mexico,Other
cyberwar:_how_russian_hackers_and_trolls_helped_elect_a_president,Other
43_alumni_for_america,Republican
the_lincoln_project,Other
juli_briskman,Democrat
2020_united_states_presidential_election,Other
2020_united_states_presidential_election_predictions,Other
2020_united_states_presidential_primary_elections,Other
peril_(book),Other
2020_united_states_presidential_debates,Other
sanders–trump_voters,Other
hunter_biden,Other
2024_united_states_presidential_election,Other
2024_united_states_presidential_debates,Other
1932_republican_national_convention,Republican
1952_republican_party_presidential_primaries,Republican
1956_republican_party_presidential_primaries,Republican
1960_united_states_presidential_debates,Other
benjamin_butler,Other
john_c._frémont,Other
andrew_jackson_hamilton,Other
hannibal_hamlin,Other
simon_cameron,Other
irs_targeting_controversy,Other
virginia_abernethy,Other
larry_darby,Democrat
james_edwards_(radio_host),Other
lester_maddox,Democrat
merlin_miller,Other
the_political_cesspool,Other
dakota_adams,Democrat
hillary_clinton,Democrat
howard_phillips_(activist),Other
chuck_hagel,Republican
vermin_supreme,Democrat
saba_ahmed,Other
william_w._belknap,Other
william_bennett,Republican
francis_preston_blair,Other
arthur_c._brooks,Republican
thomas_barbour_bryan,Other
joseph_s._inos,Other
felicidad_ogumoro,Other
edward_pangelinan,Other
julio_brady,Other
athniel_c._ottley,Other
alternate_presidents,Other
the_contenders,Other
andrew_johnson,Democrat
frank_knox,Republican
fob_james,Republican
william_cannon,Democrat
charlie_crist,Other
nathan_deal,Republican
walter_r._stubbs,Republican
benjamin_flanders,Republican
buddy_roemer,Other
samuel_cony,Democrat
nathaniel_p._banks,Other
kinsley_s._bingham,Republican
b._gratz_brown,Other
mike_johanns,Republican
kenny_guinn,Republican
john_h._bartlett,Republican
nathaniel_s._berry,Republican
charles_a._busiel,Republican
william_haile_(new_hampshire_politician),Republican
ralph_metcalf_(new_hampshire_politician),Republican
francis_p._murphy,Republican
merritt_c._mechem,Republican
john_hoeven,Republican
walter_maddock,Democrat
salmon_p._chase,Republican
andrew_gregg_curtin,Republican
john_w._geary,Republican
wanda_vázquez_garced,Other
norman_s._case,Republican
david_beasley,Republican
spencer_bachus,Republican
bradley_byrne,Republican
sonny_callahan,Republican
bob_stump,Republican
john_bidwell,Other
william_l._armstrong,Republican
john_f._shafroth,Democrat
charles_canady,Republican
james_w._grant,Republican
andy_ireland,Republican
bob_barr,Republican
bo_callaway,Republican
mac_collins,Republican
joseph_b._cheadle,Republican
rodney_alexander,Other
richard_baker_(american_politician),Republican
jimmy_hayes,Other
nehemiah_abbott,Republican
james_c._oliver,Republican
harris_m._plaisted,Republican
george_s._boutwell,Republican
josiah_begole,Other
frank_p._bohn,Republican
robert_h._clancy,Other
michele_bachmann,Republican
john_lind_(politician),Democrat
john_f._benjamin,Republican
francis_preston_blair_jr.,Other
